Time,Load (%),Temperature (C),Memory (MB),Stress_Level,Suggestion
1774681961.4255517,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.4678686,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.5088844,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.5498996,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.5905898,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.6294992,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.6706917,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.7101877,12.0,61.0,273.0,Low Stress,Increase workload
1774681961.7494464,12.0,61.0,273.0,Low Stress,Increase workload
1774681961.7907245,12.0,61.0,273.0,Low Stress,Increase workload
1774681961.8317664,12.0,61.0,273.0,Low Stress,Increase workload
1774681961.8704877,12.0,61.0,273.0,Low Stress,Increase workload
1774681961.9097624,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.9491336,13.0,61.0,273.0,Low Stress,Increase workload
1774681961.9889529,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.0302794,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.0698252,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.1109626,14.000000000000002,61.0,273.0,Low Stress,Increase workload
1774681962.1577232,14.000000000000002,61.0,273.0,Low Stress,Increase workload
1774681962.2062283,14.000000000000002,61.0,273.0,Low Stress,Increase workload
1774681962.2470174,14.000000000000002,61.0,273.0,Low Stress,Increase workload
1774681962.2885604,10.0,61.0,273.0,Low Stress,Increase workload
1774681962.335216,10.0,61.0,273.0,Low Stress,Increase workload
1774681962.3761613,10.0,61.0,273.0,Low Stress,Increase workload
1774681962.416144,10.0,61.0,273.0,Low Stress,Increase workload
1774681962.4571788,10.0,61.0,273.0,Low Stress,Increase workload
1774681962.4966793,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.5355215,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.5753937,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.614882,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.6544702,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.697963,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.7410736,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.7811527,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.8212705,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.8607628,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.9016483,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.944607,13.0,61.0,273.0,Low Stress,Increase workload
1774681962.9856813,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.0254085,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.066421,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.1114964,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.1548178,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.203447,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.2470996,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.2877357,10.0,61.0,273.0,Low Stress,Increase workload
1774681963.3310504,10.0,61.0,273.0,Low Stress,Increase workload
1774681963.3718219,10.0,61.0,273.0,Low Stress,Increase workload
1774681963.4107654,10.0,61.0,273.0,Low Stress,Increase workload
1774681963.4522417,10.0,61.0,273.0,Low Stress,Increase workload
1774681963.4927075,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.5328734,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.5729356,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.6111634,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.649588,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.690802,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.7335966,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.7777958,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.8202624,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.8609102,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.9014761,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.9412148,13.0,61.0,273.0,Low Stress,Increase workload
1774681963.98167,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.0212336,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.0614386,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.1052508,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.1440108,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.1838536,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.2302387,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.272838,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.3157766,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.3589444,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.4009295,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.4426014,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.4844108,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.5254416,10.0,61.0,273.0,Low Stress,Increase workload
1774681964.5667646,10.0,61.0,273.0,Low Stress,Increase workload
1774681964.6069567,10.0,61.0,273.0,Low Stress,Increase workload
1774681964.6490276,10.0,61.0,273.0,Low Stress,Increase workload
1774681964.6913803,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.7355633,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.7785912,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.821028,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.8631463,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.903965,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.9449158,13.0,61.0,273.0,Low Stress,Increase workload
1774681964.985562,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.026022,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.0730822,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.1138444,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.155879,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.1982093,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.243287,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.2930672,10.0,61.0,273.0,Low Stress,Increase workload
1774681965.3367703,10.0,61.0,273.0,Low Stress,Increase workload
1774681965.3785615,10.0,61.0,273.0,Low Stress,Increase workload
1774681965.419542,10.0,61.0,273.0,Low Stress,Increase workload
1774681965.463431,10.0,61.0,273.0,Low Stress,Increase workload
1774681965.50397,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.5462873,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.5897796,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.6322844,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.6759381,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.7190793,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.7600956,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.8008776,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.8431695,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.8844104,13.0,61.0,273.0,Low Stress,Increase workload
1774681965.9248989,12.0,61.0,273.0,Low Stress,Increase workload
1774681965.9648685,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.0056164,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.0468473,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.0871344,12.0,62.0,273.0,Low Stress,Increase workload
1774681966.1302035,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.17248,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.212723,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.2577205,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.3184445,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.3620608,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.4036224,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.4483185,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.4960852,12.0,61.0,273.0,Low Stress,Increase workload
1774681966.5642645,10.0,61.0,273.0,Low Stress,Increase workload
1774681966.62643,10.0,61.0,273.0,Low Stress,Increase workload
1774681966.6831398,10.0,61.0,273.0,Low Stress,Increase workload
1774681966.7348921,10.0,61.0,273.0,Low Stress,Increase workload
1774681966.7883508,10.0,61.0,273.0,Low Stress,Increase workload
1774681966.8415182,10.0,61.0,273.0,Low Stress,Increase workload
1774681966.8937254,10.0,62.0,273.0,Low Stress,Increase workload
1774681966.9497616,8.0,61.0,273.0,Low Stress,Increase workload
1774681967.0015545,8.0,62.0,273.0,Low Stress,Increase workload
1774681967.0531368,8.0,61.0,273.0,Low Stress,Increase workload
1774681967.111507,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.1616752,10.0,61.0,273.0,Low Stress,Increase workload
1774681967.2117553,10.0,61.0,273.0,Low Stress,Increase workload
1774681967.26177,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.322961,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.3740973,10.0,61.0,273.0,Low Stress,Increase workload
1774681967.4231517,10.0,61.0,273.0,Low Stress,Increase workload
1774681967.4705253,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.517196,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.5700557,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.6213698,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.6714008,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.719847,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.7683191,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.8156748,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.863619,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.919572,10.0,62.0,273.0,Low Stress,Increase workload
1774681967.976029,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.0324585,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.0906212,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.1463885,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.2002573,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.2629879,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.3299823,8.0,62.0,273.0,Low Stress,Increase workload
1774681968.4031458,8.0,62.0,273.0,Low Stress,Increase workload
1774681968.4674108,8.0,62.0,273.0,Low Stress,Increase workload
1774681968.5261676,8.0,62.0,273.0,Low Stress,Increase workload
1774681968.587542,8.0,62.0,273.0,Low Stress,Increase workload
1774681968.6337974,8.0,62.0,273.0,Low Stress,Increase workload
1774681968.6759777,8.0,62.0,273.0,Low Stress,Increase workload
1774681968.7157087,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.76987,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.8261774,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.8697789,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.9111874,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.9510622,10.0,62.0,273.0,Low Stress,Increase workload
1774681968.9914944,10.0,62.0,273.0,Low Stress,Increase workload
1774681969.0313945,10.0,62.0,273.0,Low Stress,Increase workload
1774681969.0721047,10.0,62.0,273.0,Low Stress,Increase workload
1774681969.1144252,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.156047,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.1959112,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.236264,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.2760913,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.315231,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.355393,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.4030015,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.4459352,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.4874792,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.5277596,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.5701158,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.611776,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.6534762,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.6948047,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.738297,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.7793071,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.8203938,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.8613114,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.9038854,13.0,62.0,273.0,Low Stress,Increase workload
1774681969.9450898,10.0,62.0,273.0,Low Stress,Increase workload
1774681969.9872108,10.0,62.0,273.0,Low Stress,Increase workload
1774681970.0305803,10.0,62.0,273.0,Low Stress,Increase workload
1774681970.0722227,10.0,62.0,273.0,Low Stress,Increase workload
1774681970.1127605,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.156255,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.1978352,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.2395277,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.2819324,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.3226395,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.365732,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.4085603,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.457734,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.5001554,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.5423484,12.0,62.0,273.0,Low Stress,Increase workload
1774681970.585482,12.0,62.0,273.0,Low Stress,Increase workload
1774681970.6250567,12.0,62.0,273.0,Low Stress,Increase workload
1774681970.671344,12.0,62.0,273.0,Low Stress,Increase workload
1774681970.713875,11.0,62.0,273.0,Low Stress,Increase workload
1774681970.7592192,11.0,62.0,273.0,Low Stress,Increase workload
1774681970.800342,11.0,62.0,273.0,Low Stress,Increase workload
1774681970.8409982,11.0,62.0,273.0,Low Stress,Increase workload
1774681970.8807802,11.0,62.0,273.0,Low Stress,Increase workload
1774681970.9207225,13.0,62.0,273.0,Low Stress,Increase workload
1774681970.9618003,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.0035858,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.043737,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.0865314,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.1269262,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.1707096,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.2117693,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.2526963,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.2939105,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.3350244,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.3760397,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.4164288,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.468323,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.5085108,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.5485039,10.0,62.0,273.0,Low Stress,Increase workload
1774681971.5954587,10.0,62.0,273.0,Low Stress,Increase workload
1774681971.6406763,10.0,62.0,273.0,Low Stress,Increase workload
1774681971.6826096,10.0,62.0,273.0,Low Stress,Increase workload
1774681971.7245185,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.7638679,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.8043847,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.8453078,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.8855283,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.926001,13.0,62.0,273.0,Low Stress,Increase workload
1774681971.966693,13.0,62.0,273.0,Low Stress,Increase workload
1774681972.0076523,13.0,62.0,273.0,Low Stress,Increase workload
